ID,Glider,Model,Manufacturer,Competition Class,Kind,Double Seater,Winglets,Exclude Live,2016,2017,2018,2019,2020,2021
198,SB 5,SB 5c,Akaflieg Braunschweig,Club,GL,,,,86,86,86,86,86,86
199,SF 27,SF 27 A,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
200,SF 27,SF 27 MA,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
201,SF 30,SF 30,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
202,SZD-30 Pirat,SZD-30 Pirat,PZL Bielsko,Club,GL,,,,86,86,86,86,86,86
203,Sie-3,Sie-3,Paul Siebert,Club,GL,,,,86,86,86,86,86,86
204,Solo L 33,Solo L 33,-,Club,GL,,,,86,86,86,86,86,86
205,Std. Austria,Std. Austria,Schempp-Hirth,Club,GL,,,,86,86,86,86,86,86
206,VT-16 Orlic,VT-16 Orlic,-,Club,GL,,,,86,86,86,86,86,86
207,VT-16 Orlic,VT-16 Orlic 2,-,Club,GL,,,,86,86,86,86,86,86
208,Zugvogel,Zugvogel I,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
209,Zugvogel,Zugvogel II,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
210,Zugvogel,Zugvogel IV,Scheibe-Flugzeugbau,Club,GL,,,,86,86,86,86,86,86
211,Ka 6 E,Ka 6 E,Alexander Schleicher,Club,GL,,,,85,85,85,85,85,85
212,Ka10,Ka10,Alexander Schleicher,Club,GL,,,,85,85,85,85,85,85
213,PW 5,PW 5,PZL Świdnik,Club,GL,,,,85,85,85,85,85,85
214,Alpin,Alpin,TeST Gliders,Club,GL,,,,84,84,84,84,84,84
215,Alpin,Alpin T,TeST Gliders,Club,MG,,,,84,84,84,84,84,84
216,H 30,H 30,Glasflügel,Club,GL,,,,84,84,84,84,84,84
217,Lambada UFM-15,Lambada UFM-15,Urban Air,Double,MG,x,,x,84,84,84,84,84,84
218,Silent AE-1,Silent AE-1,Air Energy,Club,MG,,,,84,84,84,84,84,84
219,Silent AE-1,Silent AE-1 pure,Air Energy,Club,MG,,,,84,84,84,84,84,84
220,Silent Club,Silent Club,Air Energy,Club,MG,,,,84,84,84,84,84,84
221,Silent Club,Silent Club pure,Air Energy,Club,MG,,,,84,84,84,84,84,84
222,SF 26,SF 26,Scheibe-Flugzeugbau,Club,GL,,,,83,83,83,83,83,83
223,ASK 14,ASK 14,Alexander Schleicher,Club,MG,,,x,82,82,82,82,82,82
224,Ka 6,Ka 6,Alexander Schleicher,Club,GL,,,,82,82,82,82,82,82
225,LOM 57,LOM 57,VEB Lommatzsch,Club,GL,,,,82,82,82,82,82,82
226,LOM 57,LOM 57/1,VEB Lommatzsch,Club,GL,,,,82,82,82,82,82,82
227,Lambada UFM-13,Lambada UFM-13,Urban Air,Double,MG,x,,x,82,82,82,82,82,82
228,SFS 31,SFS 31,Scheibe-Flugzeugbau,Club,MG,,,x,82,82,82,82,82,82
229,SZD-22 Mucha Std.,SZD 22-Mucha Std.,PZL Bielsko,Club,GL,,,,82,82,82,82,82,82
230,Sagitta,Sagitta,N.V. Vliegtuigbouw,Club,GL,,,,82,82,82,82,82,82
231,Duo Banjo,Duo Banjo,ProFe,Double,GL,x,,,80,80,80,80,80,80
232,LCF 2,LCF 2,LCF,Club,GL,,,,80,80,80,80,80,80
233,SZD-12 Mucha 100,SZD-12 Mucha 100,PZL Bielsko,Club,GL,,,,80,80,80,80,80,80
234,Weihe 50,Weihe 50,DFS,Club,GL,,,,80,80,80,80,80,80
235,L-Spatz,L-Spatz,Scheibe-Flugzeugbau,Club,GL,,,,78,78,78,78,78,78
236,Lunak LF 107,Lunak LF 107,Rudý Letov,Club,GL,,,,78,78,78,78,78,78
237,Swift S-1,Swift S-1,ZRPSL,Club,GL,,,,77,77,77,77,77,77
238,Ahrens Delphin V1,Ahrens Delphin V1,Arthur Ahrens,Club,GL,,,,76,76,76,76,76,76
239,Banjo,Banjo,ProFe,Club,GL,,,,76,76,76,76,76,76
240,K 8,K 8,Alexander Schleicher,Club,GL,,,,76,76,76,76,76,76
241,Minimoa,Minimoa,Schempp-Hirth,Club,GL,,,,76,76,76,76,76,76
242,AV.36,AV.36,Fauvel,Club,GL,,,,74,74,74,74,74,74
243,RF 4,RF 4,Fournier,Club,MG,,,x,74,74,74,74,74,74
244,Spatz 13m,Spatz 13m,Scheibe-Flugzeugbau,Club,GL,,,,74,74,74,74,74,74
245,Piccolo,Piccolo,Technoflug,Club,MG,,,,68,68,68,68,68,68
246,Song,Song,Gramex,Club,MG,,,x,65,65,65,65,65,65
247,Stratos 2e,Stratos 2e,HFL Leichtflugzeugbau,Club,GL,,,,64,64,64,64,64,64
248,Rhönsperber,Rhönsperber,DFS,Club,GL,,,,62,62,62,62,62,62
249,Rhönbussard,Rhönbussard,DFS,Club,GL,,,,60,60,60,60,60,60
250,Grunau Baby,Grunau Baby,Schneider,Club,GL,,,,54,54,54,54,54,54
251,Ka/1 /3 /4,Ka 1,Alexander Schleicher,Club,GL,,,,54,54,54,54,54,54
252,Ka/1 /3 /4,Ka 3,Alexander Schleicher,Club,GL,,,,54,54,54,54,54,54
253,Falkon,Falkon,Streifeneder,Club,GL,,,,103,103,103,103,103,103
254,LS 3 Std,LS 3 Std,Rolladen-Schneider,Club,GL,,,,103,103,103,103,103,103
255,mini LAK,mini LAK-FES,Sportinė Aviacija,Club,FG,,,,103,103,105,105,103,103
256,AK-5,AK-5,Akaflieg Karlsruhe,Club,GL,,,,102,102,102,102,102,102
257,Cirrus B 18.34m,Cirrus B 18.34m,Schempp-Hirth,Club,GL,,,,102,102,102,102,102,102
258,DG 300 FG,DG 300 FG,DG Flugzeugbau,Club,GL,,,,102,102,102,102,102,102
259,Pegase,Pegase,Centrair,Club,GL,,,,102,102,102,102,102,102
260,SB 12,SB 12,Akaflieg Braunschweig,Club,GL,,,,103,103,103,103,102,102
261,Hornet,Hornet WL,Glasflügel,Club,GL,,x,,101,101,101,101,101,101
262,SZD-59 Acro 15m,SZD-59 Acro 15m,Allstar PZL Glider,Club,GL,,,,101,101,101,101,101,101
